TimeStamp,ECG Data,GSR Data
21285,331,427
21296,283,427
21307,366,427
21318,250,426
21329,391,427
21340,249,426
21351,392,427
21362,277,426
21373,344,427
21384,303,426
21395,302,427
21406,343,427
21417,251,427
21428,373,427
21439,243,426
21450,388,427
21462,273,426
21473,365,427
21484,308,427
21495,287,427
21506,336,426
21517,271,426
21528,398,427
21539,284,426
21550,418,427
21561,322,426
21572,430,427
21583,323,426
21594,333,427
21605,278,426
21616,228,426
21627,320,427
21638,214,426
21649,354,427
21660,223,426
21671,363,427
21682,173,426
21693,281,427
21704,561,427
21715,666,427
21726,674,427
21737,156,427
21748,90,427
21760,95,426
21771,245,427
21782,147,426
21793,235,427
21804,225,426
21815,234,427
21826,286,426
21837,208,426
21848,339,427
21859,229,426
21870,390,427
21881,275,426
21892,397,427
21903,322,426
21914,366,427
21925,401,426
21936,369,427
21947,473,427
21958,373,426
21969,525,427
21980,378,426
21991,493,427
22002,322,426
22013,297,427
22024,190,426
22035,141,427
22046,163,427
22057,74,426
